block_id,zone_id,kind,slot_count,max_length_mm,max_width_mm,max_height_mm,pallet_rating_kg,rating_uniform,led_panel_id,notes
Block A-01,1,,,,,,,,,
Block A-02,1,,,,,,,,,
Block A-03,1,,,,,,,,,
Block A-04,2,,,,,,,,,
Block B-01,2,,,,,,,,,
Block B-02,2,,,,,,,,,
Block B-03,3,,,,,,,,,
Block B-04,3,,,,,,,,,
Block C-01,3,,,,,,,,,
Block C-02,4,,,,,,,,,
Block C-03,4,,,,,,,,,
Block C-04,4,,,,,,,,,
Block D-01,5,,,,,,,,,
Block D-02,5,,,,,,,,,
Block D-03,5,,,,,,,,,
Block E-01,6,,,,,,,,,
Block E-02,6,,,,,,,,,
Block E-03,6,,,,,,,,,
